, Product Division,Category,Sub Category,Destination,Product Name,Portion,Quantity Sold,Value of Sales,Net Value of Sales,% of Total Sales,% of Division,% of Category,% of Sub-Cat,Gross Sales,Discount,Promotion,Tax
389,Bar,Spirits,01 Spirits,Standard,Southern Comfort,Double,1,4.3,3.58,0.0053473409,0.0138156872,0.0838491028,0.0838491028,4.3,0,0,0.72
390,Bar,Spirits,01 Spirits,Standard,Southern Comfort,Standard,1,2.38,1.9825,0.002959691,0.0076468222,0.0464095034,0.0464095034,2.8,0,0.42,0.3975
391,Bar,Spirits,01 Spirits,Standard,Strika,Double,1,4.3,3.58,0.0053473409,0.0138156872,0.0838491028,0.0838491028,4.3,0,0,0.72
392,Bar,Spirits,01 Spirits,Standard,Tanqueray 41.3%,Double,11,54.89,47.4032,0.0682594281,0.1763588532,1.0703435473,1.0703435473,54.89,0,0,7.4868
393,Bar,Spirits,01 Spirits,Standard,Tanqueray 41.3%,Standard,5,17.45,14.5474,0.0217002554,0.0560659863,0.3402713591,0.3402713591,17.45,0,0,2.9026
394,Bar,Spirits,01 Spirits,Standard,Tanqueray Ten,Double,7,31.54,26.286,0.0392221236,0.1013364589,0.6150234192,0.6150234192,43.54,0,12,5.254
395,Bar,Spirits,01 Spirits,Standard,Tanqueray Ten,Standard,4,9.52,7.9344,0.011838764,0.0305872888,0.1856380137,0.1856380137,18.88,0,9.36,1.5856
396,Bar,Spirits,01 Spirits,Standard,Tequila Rose,Standard,55,114.4,95.35570000000001,0.1422641387,0.3675615376,2.2307761307,2.2307761307,154,0,39.6,19.0443
397,Bar,Spirits,01 Spirits,Standard,XIX MixedBerry,Double,103,360.38000000000005,300.42500000000007,0.4481569084,1.1578831026,7.0273348075,7.0273348075,359.47,1.4,-2.31,59.955
398,Bar,Spirits,01 Spirits,Standard,XIX MixedBerry,Standard,22,44.17,36.8218,0.0549283829,0.1419160238,0.861305784,0.861305784,43.78,0,-0.39,7.3482
399,,,,,SubTotal,,1588,5128.259999999999,4277.350999999998,6.3773382181,16.4768455515,99.9999999998,100,5543.06,12.91,401.89000000000004,850.9090000000003
